3-PC. LASH LEADERS MINI MASCARA SET!,$22.00,"Best in lash! Get mini sizes of Benefit Cosmetics' three best-selling mascaras in one blockbuster set! Wear them alone or layer them together for endless lash looks. It's everything you need to volumize, curl and lengthen lashes, all at a major value!"
PRINTED MOCK-NECK TOP,$79.00,"Get retro-chic vibes in this leopard-print Vince Camuto top, featuring shoulder pads, 3/4-sleeves, and a mock neckline."
HAYDIN WIDE CALF RIDING BOOTS,$89.00,"A fun addition to both skirts and skinny jeans, the Haydin riding boots from G by GUESS pair an equestrian-inspired profile with buckled straps and trend-right block heel for a timeless look."
NOUVELLE 11-PC. COPPER LUXE SABLE HARD-ANODIZED NON-STICK COOKWARE SET,$499.99,"A stylish modern look with amazing performance, this Anolon Nouvelle cookware set is in durable hard-anodized aluminum with non-stick surfaces meant to last. The 11 essentials include everything from a soup-for-one saucepan to a sauce-for-a-crowd stockpot."
BROW CONTOUR PRO 4-IN-1 DEFINING & HIGHLIGHTING PENCIL,$34.00,"Define and highlight your brows with Benefit's NEW Brow Contour Pro, a 4-in-1 defining and highlighting brow pencil. This multi-tasking brow pencil features a lighter brow shade and deeper brow shade to give your brows depth & dimension, plus an edge definer and arch highlighter to clean & shape your brows. Turn shapeless, flat brows into defined, contoured brows in an instant! Available in 5 shades for a wide range of hair colors and skin tones! The easy-to blend formula features up to 24 hours of long wear*, and is waterproof*   *instrumental test on 20 women **instrumental test on 22 women"
"WOMEN'S BEXLEYY RIDING LEATHER BOOTS, CREATED FOR MACY'S",$179.50,Updated equestrian-style hardware combines with soft-walking comfort in the look you'll wear again and again: the Bexleyy riding boots from Alfani.
PRINTED TIE-SLEEVE TOP,$79.00,Opt for fresh and charming in this printed top from Vince Camuto designed with elbow sleeve that tie at each cuff.
CREATE DELICIOUS HARD-ANODIZED ALUMINUM 11-PC. NONSTICK COOKWARE SET,$299.99,"Durable and solution-oriented, the Rachael Ray Create Delicious 11-Pc. Hard-Anodized Aluminum Nonstick Cookware Set brings high performance and cooking convenience to home chefs eager for kitchen versatility with long-lasting dependability."
4-PC. HONK IF YOU'RE HOT LIMITED EDITION SET,$40.00,"Sizzling hot trailblazers for brows, face and lashes. Is it hot out here or is it just you? Benefit Cosmetics' limited-edition Honk If You're Hot! Set includes full sizes of The POREfessional pore-minimizing primer, Gimme Brow+ volumizing fiber gel, They're Real! lengthening mascara and the iconic High Beam satiny pink liquid highlighter. It comes ""wrapped"" and ready to gift in a collectible vintage-inspired camper tin, all at an amazing value!"
WOMEN'S CLASSIC II TALL BOOTS,$200.00,"A go-to look with leggings and skirts, these Classic Tall II boots from UGG pair plush sheepskin and comfort details into a casual silhouette."
SEQUINED SHIFT DRESS,$168.00,Vince Camuto has you sparkling all night long in this short-sleeve shift dress designed entirely in chevron sequins.
ADVANCED HOME HARD-ANODIZED NONSTICK 2-PC. SKILLET SET,$99.99,"For a double down on high-quality performance, durable construction that lasts, and the everyday convenience of Infinity Slide™ nonstick, reach for the Anolon Advanced Home Hard-Anodized Nonstick Skillet Set."
ROLLER LASH CURLING & LIFTING MASCARA,$25.00,"A mascara inspired by hair rollers, this super-curling and lifting mascara gives a sexy, wide-eyed look. Its patent-pending Hook 'n' Roll brush features tiny custom-designed hooks to catch, lift, and curl even short and straight lashes. Roller Lash not only lifts and super-curls, but this instant curve-setting formula holds for 12 hours, is easy to remove, and contains provitamin B5 and serine, known for their lash-conditioning benefits."
"VELMAH MEMORY FOAM MARY JANE PUMPS, CREATED FOR MACY'S",$79.50,Soft suede and patent gloss combine in a chic colorblocked effect on the vintage-inspired Velmah pumps from Giani Bernini.
FUZZY OPEN-FRONT CARDIGAN,$119.00,Vince Camuto gives this open-front cardigan a rich finish with fuzzy texture to warm up your look.
"HARD ANODIZED 8"" & 10"" FRY PAN SET",$74.99,"Frying, searing and other high-heat cooking just got easier with the hard-anodized body and nonstick interior of this set of 8"" and 10"" fry pans from All-Clad."
BOI-ING INDUSTRIAL-STRENGTH CONCEALER,$22.00,"Boi-ing industrial strength concealer, the original full-coverage concealer!  It's the Boi-ing that started it all! This stay-put, full coverage cream concealer covers everything from heavy-duty dark circles to blemishes and discoloration."
STUDDED-CUFF BLOUSE,$69.00,"Vince Camuto's studded-cuff, blouson-sleeve top is an elegant piece that dresses up or down with effortless chic appeal."
CLASSIC STAINLESS STEEL 10-PC. COOKWARE SET,$279.99,"Durable stainless steel designs & impact-bonded aluminum bases expertly handle & distribute heat for quick & even cooking. Interior measurement marks, pour spouts & a straining lid make this collection a hot commodity in your home."
"TINY 2 WINTER BOOTIES, CREATED FOR MACY'S",$69.50,"Keep your feet cozy in this soft real suede, faux-fur lined style. The Tiny Low cold weather booties by Style & Co."
FIND YOUR BENEFIT MASCARA MATCH,$25.00,"Whether you are looking for length beyond belief, curls for days or volume that is out of this world, Benefit has the mascara for all of your lash needs."
"CADEE ANKLE BOOTIES, CREATED FOR MACY'S",$49.99,American Rag adds smooth lines to the Cadee booties with a curving notch to one side balanced by a quick side zipper on the other.
METALLIC ANIMAL-PRINT STRETCH DRESS,$128.00,Modern meow. Vince Camuto's stretch surplice dress stuns in lustrous animal print with draped styling and a slit for movement.
18-PC. NONSTICK COOKWARE SET,$99.99,"Outfit your kitchen with the essentials you need for everyday food prep with T-fal's impressive 18-piece cookware set, including nonstick pots and pans plus measuring tools, utensils and a steamer. Cookware pieces feature T-fal's Thermo-Spot technology for quick and even heating."
3-PC. THE GREAT BROW BASICS SET,$36.00,"Ace the brow basics! This trio of Benefit Cosmetics best sellers features 2 brow pencils and 1 brow gel at a major value! Goof Proof Brow Pencil easily fills and shapes brows with its 12-hour,* waterproof** formula and custom goof-proof tip. Precisely, My Brow Pencil draws natural-looking, hair-like strokes with its ultra-fine tip and 12-hour*** smudge-proof formula. For fuller-looking brows in an instant, brush on Gimme Brow+ Volumizing Eyebrow Gel. Wear the products alone or layer them together for a custom look. It's everything you need to create any brow style, from bold and defined to full and feathery! Available in 6 shades."
WOMEN'S JOAN OF ARCTIC WEDGE II WATERPROOF CHELSEA BOOTIES,$200.00,Sorel adds a chunky platform to the hidden wedge heel design of these retro-inspired Joan of Arctic Wedge II Chelsea booties.
HEART-EMBELLISHED TURTLENECK SWEATER,$99.00,"Say hello to your favorite new sweater from Vince Camuto, a cozy turtleneck designed with shimmering hearts at the front."
"HARD ANODIZED 11-PC. COOKWARE SET, CREATED FOR MACY'S",$299.99,"Stylish bell-shaped silhouettes set this efficient collection apart from the rest of your range. With larger stick handles for easier grips, plus hang holes for efficient storage, these chef's must-haves feature heavy-duty nonstick interiors that promote low-fat cooking and aluminum bodies that ensure quick, even heating. Lifetime warranty."
CHEEKLEADERS CHEEK PALETTE,$60.00,"A limited-edition, full-size cheek palette featuring new highlighter shades. Get pep-rally-pink cheeks with Pink Squad—a full-size palette to blush, brighten, and highlight—featuring the new Tickle golden-pink, a super-silky highlighter. Glow, bronze, and win with Bronze Squad—a full-size cheek palette to highlight, contour, and bronze—featuring the new Cookie golden-pearl, a super-silky highlighter, and new Hoola Caramel Medium-Deep Matte Bronzer."
PAISLEY MID-SHAFT BOOTS,$99.00,"Slouchy with crisscrossing buckled straps, the Paisley boots from Carlos by Carlos Santana are edgy chic personified. The look sits on a sturdy block heel for stable lift."
